[2023-04-06 16:21:35,616] Register - Step 01: Click to register link
[2023-04-06 16:35:56,133] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:35:56,274] Register - Step 03: Enter to lastName textbox with data is 'le4991 '
[2023-04-06 16:35:56,418] Register - Step 04: Enter to email invalid textbox with data is '123@3$%%' 
[2023-04-06 16:35:56,567] Step 05: Enter to password textbox with data is '123123 '
[2023-04-06 16:35:56,704] Register - Step 06: Enter to confirm password textbox with data is '123123 '
[2023-04-06 16:35:56,834] Register - Step 07: Click to register button
[2023-04-06 16:35:56,921] Register - Step 08: Verify error message at confirm password textbox
[2023-04-06 16:35:56,970] Register - Step 01: Click to register link
[2023-04-06 16:35:59,913] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:36:00,050] Register - Step 03: Enter to lastName textbox with data is 'le4991 '
[2023-04-06 16:36:00,184] Register - Step 04: Enter to email invalid textbox with data is ' kimle8679@gmail.com'
[2023-04-06 16:36:00,323] Register - Step 05: Enter to password textbox with data is '123'
[2023-04-06 16:36:00,425] Register - Step 06: Enter to confirm password textbox with data is '123'
[2023-04-06 16:36:00,549] Register - Step 07: Click to register button
[2023-04-06 16:36:00,635] Register - Step 08: Verify error message at confirm password textbox
[2023-04-06 16:36:00,684] Register - Step 01: Click to register link
[2023-04-06 16:36:03,714] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:36:03,839] Register - Step 03: Enter to lastName textbox with data is 'le4991 '
[2023-04-06 16:36:03,968] Register - Step 04: Enter to email invalid textbox with data is ' kimle8679@gmail.com'
[2023-04-06 16:36:04,106] Register - Step 05: Enter to password textbox with data is '123123 '
[2023-04-06 16:36:04,233] Register - Step 06: Enter to confirm password textbox with data is '123123 '
[2023-04-06 16:36:04,340] Register - Step 07: Click to register button
[2023-04-06 16:36:05,165] Register - Step 08: Verify register success
[2023-04-06 16:36:05,219] Register - Step 01: Click to register link
[2023-04-06 16:36:07,687] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:36:07,827] Register - Step 03: Enter to lastName textbox with data is 'le4991 '
[2023-04-06 16:36:08,002] Register - Step 04: Enter to email invalid textbox with data is ' kimle8679@gmail.com'
[2023-04-06 16:36:08,209] Register - Step 05: Enter to password textbox with data is '123123 '
[2023-04-06 16:36:08,377] Register - Step 06: Enter to confirm password textbox with data is '123123 '
[2023-04-06 16:36:08,567] Register - Step 07: Click to register button
[2023-04-06 16:36:09,062] Register - Step 08: Verify email already exists
[2023-04-06 16:36:09,124] Register - Step 01: Click to register link
[2023-04-06 16:36:11,576] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:36:11,676] Register - Step 03: Enter to lastName textbox with data is 'le4991 '
[2023-04-06 16:36:11,820] Register - Step 04: Enter to email invalid textbox with data is ' kimle8679@gmail.com'
[2023-04-06 16:36:11,955] Register - Step 05: Enter to password textbox with data is '123123 '
[2023-04-06 16:36:12,072] Register - Step 06: Enter to confirm password textbox with data is '123456'
[2023-04-06 16:36:12,188] Register - Step 07: Click to register button
[2023-04-06 16:36:12,274] Register - Step 08: Verify assword and confirmation password don't match
[2023-04-06 16:38:00,830] Register - Step 01: Click to register link
[2023-04-06 16:38:03,864] Register - Step 02: Click to register button
[2023-04-06 16:38:03,980] Step 03: Verify error message at firstName textbox
[2023-04-06 16:38:04,054] Step 04: Verify error message at lastName textbox
[2023-04-06 16:38:04,111] Register - Step 05: Verify error message at email textbox
[2023-04-06 16:38:04,164] Step 06: Verify error message at password textbox
[2023-04-06 16:38:04,220] Step 07: Verify error message at confirm password textbox
[2023-04-06 16:38:04,276] Register - Step 01: Click to register link
[2023-04-06 16:38:06,776] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:38:06,918] Register - Step 03: Enter to lastName textbox with data is 'le2128 '
[2023-04-06 16:38:07,042] Register - Step 04: Enter to email invalid textbox with data is '123@3$%%' 
[2023-04-06 16:38:07,179] Step 05: Enter to password textbox with data is '123123 '
[2023-04-06 16:38:07,308] Register - Step 06: Enter to confirm password textbox with data is '123123 '
[2023-04-06 16:38:07,444] Register - Step 07: Click to register button
[2023-04-06 16:38:07,533] Register - Step 08: Verify error message at confirm password textbox
[2023-04-06 16:38:07,590] Register - Step 01: Click to register link
[2023-04-06 16:38:10,051] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:38:10,176] Register - Step 03: Enter to lastName textbox with data is 'le2128 '
[2023-04-06 16:38:10,304] Register - Step 04: Enter to email invalid textbox with data is ' kimle2670@gmail.com'
[2023-04-06 16:38:10,454] Register - Step 05: Enter to password textbox with data is '123'
[2023-04-06 16:38:10,572] Register - Step 06: Enter to confirm password textbox with data is '123'
[2023-04-06 16:38:10,693] Register - Step 07: Click to register button
[2023-04-06 16:38:10,784] Register - Step 08: Verify error message at confirm password textbox
[2023-04-06 16:38:10,833] Register - Step 01: Click to register link
[2023-04-06 16:38:13,326] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:38:13,433] Register - Step 03: Enter to lastName textbox with data is 'le2128 '
[2023-04-06 16:38:13,569] Register - Step 04: Enter to email invalid textbox with data is ' kimle2670@gmail.com'
[2023-04-06 16:38:13,721] Register - Step 05: Enter to password textbox with data is '123123 '
[2023-04-06 16:38:13,848] Register - Step 06: Enter to confirm password textbox with data is '123123 '
[2023-04-06 16:38:13,967] Register - Step 07: Click to register button
[2023-04-06 16:38:14,697] Register - Step 08: Verify register success
[2023-04-06 16:38:14,749] Register - Step 01: Click to register link
[2023-04-06 16:38:17,189] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:38:17,327] Register - Step 03: Enter to lastName textbox with data is 'le2128 '
[2023-04-06 16:38:17,515] Register - Step 04: Enter to email invalid textbox with data is ' kimle2670@gmail.com'
[2023-04-06 16:38:17,746] Register - Step 05: Enter to password textbox with data is '123123 '
[2023-04-06 16:38:17,937] Register - Step 06: Enter to confirm password textbox with data is '123123 '
[2023-04-06 16:38:18,090] Register - Step 07: Click to register button
[2023-04-06 16:38:18,801] Register - Step 08: Verify email already exists
[2023-04-06 16:38:18,877] Register - Step 01: Click to register link
[2023-04-06 16:38:21,425] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:38:21,530] Register - Step 03: Enter to lastName textbox with data is 'le2128 '
[2023-04-06 16:38:21,664] Register - Step 04: Enter to email invalid textbox with data is ' kimle2670@gmail.com'
[2023-04-06 16:38:21,815] Register - Step 05: Enter to password textbox with data is '123123 '
[2023-04-06 16:38:21,940] Register - Step 06: Enter to confirm password textbox with data is '123456'
[2023-04-06 16:38:22,057] Register - Step 07: Click to register button
[2023-04-06 16:38:22,141] Register - Step 08: Verify assword and confirmation password don't match
[2023-04-06 16:39:15,509] Register - Step 01: Click to register link
[2023-04-06 16:39:39,644] Register - Step 01: Click to register link
[2023-04-06 16:39:42,785] Register - Step 02: Click to register button
[2023-04-06 16:39:42,935] Step 03: Verify error message at firstName textbox
[2023-04-06 16:39:43,015] Step 04: Verify error message at lastName textbox
[2023-04-06 16:39:43,069] Register - Step 05: Verify error message at email textbox
[2023-04-06 16:39:43,135] Step 06: Verify error message at password textbox
[2023-04-06 16:39:43,217] Step 07: Verify error message at confirm password textbox
[2023-04-06 16:39:43,306] Register - Step 01: Click to register link
[2023-04-06 16:39:45,842] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:39:45,982] Register - Step 03: Enter to lastName textbox with data is 'le9688 '
[2023-04-06 16:39:46,118] Register - Step 04: Enter to email invalid textbox with data is '123@3$%%' 
[2023-04-06 16:39:46,254] Step 05: Enter to password textbox with data is '123123 '
[2023-04-06 16:39:46,393] Register - Step 06: Enter to confirm password textbox with data is '123123 '
[2023-04-06 16:39:46,530] Register - Step 07: Click to register button
[2023-04-06 16:39:46,615] Register - Step 08: Verify error message at confirm password textbox
[2023-04-06 16:39:46,668] Register - Step 01: Click to register link
[2023-04-06 16:39:49,175] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:39:49,294] Register - Step 03: Enter to lastName textbox with data is 'le9688 '
[2023-04-06 16:39:49,435] Register - Step 04: Enter to email invalid textbox with data is ' kimle6177@gmail.com'
[2023-04-06 16:39:49,598] Register - Step 05: Enter to password textbox with data is '123'
[2023-04-06 16:39:49,703] Register - Step 06: Enter to confirm password textbox with data is '123'
[2023-04-06 16:39:49,826] Register - Step 07: Click to register button
[2023-04-06 16:39:49,914] Register - Step 08: Verify error message at confirm password textbox
[2023-04-06 16:39:49,963] Register - Step 01: Click to register link
[2023-04-06 16:39:52,444] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:39:52,572] Register - Step 03: Enter to lastName textbox with data is 'le9688 '
[2023-04-06 16:39:52,703] Register - Step 04: Enter to email invalid textbox with data is ' kimle6177@gmail.com'
[2023-04-06 16:39:52,858] Register - Step 05: Enter to password textbox with data is '123123 '
[2023-04-06 16:39:52,977] Register - Step 06: Enter to confirm password textbox with data is '123123 '
[2023-04-06 16:39:53,094] Register - Step 07: Click to register button
[2023-04-06 16:39:54,008] Register - Step 08: Verify register success
[2023-04-06 16:39:54,066] Register - Step 01: Click to register link
[2023-04-06 16:39:56,515] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:39:56,793] Register - Step 03: Enter to lastName textbox with data is 'le9688 '
[2023-04-06 16:39:57,070] Register - Step 04: Enter to email invalid textbox with data is ' kimle6177@gmail.com'
[2023-04-06 16:39:57,331] Register - Step 05: Enter to password textbox with data is '123123 '
[2023-04-06 16:39:57,647] Register - Step 06: Enter to confirm password textbox with data is '123123 '
[2023-04-06 16:39:57,785] Register - Step 07: Click to register button
[2023-04-06 16:39:58,257] Register - Step 08: Verify email already exists
[2023-04-06 16:39:58,317] Register - Step 01: Click to register link
[2023-04-06 16:40:00,760] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:40:00,864] Register - Step 03: Enter to lastName textbox with data is 'le9688 '
[2023-04-06 16:40:00,997] Register - Step 04: Enter to email invalid textbox with data is ' kimle6177@gmail.com'
[2023-04-06 16:40:01,147] Register - Step 05: Enter to password textbox with data is '123123 '
[2023-04-06 16:40:01,267] Register - Step 06: Enter to confirm password textbox with data is '123456'
[2023-04-06 16:40:01,386] Register - Step 07: Click to register button
[2023-04-06 16:40:01,464] Register - Step 08: Verify assword and confirmation password don't match
